kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
8395660,K00116.03,Kepler-106 b,CONFIRMED,0.79,,,,,,,,,,,,,,,,,,,,,,,,
3832474,K00806.02,Kepler-30 c,CONFIRMED,12.19,,,,,,,,,,,,,,,,,,,,,,,,
3832474,K00806.03,Kepler-30 b,CONFIRMED,1.91,,,,,,,,,,,,,,,,,,,,,,,,
3836375,K00807.01,,FALSE POSITIVE,25.69,,,,,,,,,,,,,,,,,,,,,,,,
3838486,K00808.01,,FALSE POSITIVE,1.7,,,,,,,,,,,,,,,,,,,,,,,,
3935914,K00809.01,Kepler-686 b,CONFIRMED,11.3,,,,,,,,,,,,,,,,,,,,,,,,
3940418,K00810.01,Kepler-1728 b,CONFIRMED,2.5,,,,,,,,,,,,,,,,,,,,,,,,
4049131,K00811.01,Kepler-687 b,CONFIRMED,3.41,,,,,,,,,,,,,,,,,,,,,,,,
4139816,K00812.01,Kepler-235 b,CONFIRMED,2.03,,,,,,,,,,,,,,,,,,,,,,,,
5287983,K00828.01,,FALSE POSITIVE,30.26,,,,,,,,,,,,,,,,,,,,,,,,
5358241,K00829.01,Kepler-53 b,CONFIRMED,3.12,,,,,,,,,,,,,,,,,,,,,,,,
10875245,K00117.02,Kepler-107 c,CONFIRMED,1.7,,,,,,,,,,,,,,,,,,,,,,,,
5358241,K00829.02,Kepler-53 d,CONFIRMED,2.76,,,,,,,,,,,,,,,,,,,,,,,,
5358241,K00829.03,Kepler-53 c,CONFIRMED,4.02,,,,,,,,,,,,,,,,,,,,,,,,
5358624,K00830.01,Kepler-428 b,CONFIRMED,11.58,,,,,,,,,,,,,,,,,,,,,,,,
4544670,K00815.01,,CANDIDATE,7.61,,,,,,,,,,,,,,,,,,,,,,,,
4664847,K00816.01,Kepler-690 b,CONFIRMED,5.52,,,,,,,,,,,,,,,,,,,,,,,,
4725681,K00817.01,Kepler-236 c,CONFIRMED,1.8,,,,,,,,,,,,,,,,,,,,,,,,
4725681,K00817.02,Kepler-236 b,CONFIRMED,1.82,,,,,,,,,,,,,,,,,,,,,,,,
4913852,K00818.01,Kepler-691 b,CONFIRMED,2.1,,,,,,,,,,,,,,,,,,,,,,,,
4932348,K00819.01,,FALSE POSITIVE,27.5,,,,,,,,,,,,,,,,,,,,,,,,
4936180,K00820.01,,CANDIDATE,30.09,,,,,,,,,,,,,,,,,,,,,,,,
11913073,K00011.01,,FALSE POSITIVE,13.65,,,,,,,,,,,,,,,,,,,,,,,,
10875245,K00117.01,Kepler-107 e,CONFIRMED,2.89,,,,,,,,,,,,,,,,,,,,,,,,
5021899,K00821.01,Kepler-692 b,CONFIRMED,3.38,,,,,,,,,,,,,,,,,,,,,,,,
5077629,K00822.01,,FALSE POSITIVE,10.34,,,,,,,,,,,,,,,,,,,,,,,,
5115978,K00823.01,,CANDIDATE,72.77,,,,,,,,,,,,,,,,,,,,,,,,
5164255,K00824.01,Kepler-693 b,CONFIRMED,11.01,,,,,,,,,,,,,,,,,,,,,,,,
5252423,K00825.01,Kepler-237 c,CONFIRMED,2.11,,,,,,,,,,,,,,,,,,,,,,,,
5252423,K00825.02,Kepler-237 b,CONFIRMED,1.46,,,,,,,,,,,,,,,,,,,,,,,,
5272878,K00826.01,Kepler-694 b,CONFIRMED,2.44,,,,,,,,,,,,,,,,,,,,,,,,
5283542,K00827.01,,FALSE POSITIVE,3.86,,,,,,,,,,,,,,,,,,,,,,,,
5649215,K00839.01,,FALSE POSITIVE,26.25,,,,,,,,,,,,,,,,,,,,,,,,
5651104,K00840.01,Kepler-695 b,CONFIRMED,8.99,,,,,,,,,,,,,,,,,,,,,,,,
5792202,K00841.01,Kepler-27 b,CONFIRMED,5,,,,,,,,,,,,,,,,,,,,,,,,
10875245,K00117.04,Kepler-107 d,CONFIRMED,1.06,,,,,,,,,,,,,,,,,,,,,,,,
5792202,K00841.02,Kepler-27 c,CONFIRMED,6.5,,,,,,,,,,,,,,,,,,,,,,,,
5370302,K00831.01,,FALSE POSITIVE,12.28,,,,,,,,,,,,,,,,,,,,,,,,
5372966,K00832.01,,FALSE POSITIVE,17.61,,,,,,,,,,,,,,,,,,,,,,,,
5376067,K00833.01,,FALSE POSITIVE,31.44,,,,,,,,,,,,,,,,,,,,,,,,
5436502,K00834.01,Kepler-238 e,CONFIRMED,7.89,,,,,,,,,,,,,,,,,,,,,,,,
5436502,K00834.02,Kepler-238 d,CONFIRMED,3.06,,,,,,,,,,,,,,,,,,,,,,,,
5436502,K00834.03,Kepler-238 c,CONFIRMED,2.32,,,,,,,,,,,,,,,,,,,,,,,,
5436502,K00834.04,Kepler-238 b,CONFIRMED,1.62,,,,,,,,,,,,,,,,,,,,,,,,
10875245,K00117.03,Kepler-107 b,CONFIRMED,1.53,,,,,,,,,,,,,,,,,,,,,,,,
5436502,K00834.05,Kepler-238 f,CONFIRMED,2.67,,,,,,,,,,,,,,,,,,,,,,,,
5456651,K00835.01,Kepler-239 b,CONFIRMED,2.35,,,,,,,,,,,,,,,,,,,,,,,,
5456651,K00835.02,Kepler-239 c,CONFIRMED,2.37,,,,,,,,,,,,,,,,,,,,,,,,
5481416,K00836.01,,FALSE POSITIVE,17.06,,,,,,,,,,,,,,,,,,,,,,,,
5531576,K00837.01,Kepler-240 c,CONFIRMED,2.25,,,,,,,,,,,,,,,,,,,,,,,,
5531576,K00837.02,Kepler-240 b,CONFIRMED,1.48,,,,,,,,,,,,,,,,,,,,,,,,
5534814,K00838.01,,FALSE POSITIVE,38.33,,,,,,,,,,,,,,,,,,,,,,,,
6291653,K00850.01,Kepler-702 b,CONFIRMED,8.24,,,,,,,,,,,,,,,,,,,,,,,,
6392727,K00851.01,Kepler-703 b,CONFIRMED,5.39,,,,,,,,,,,,,,,,,,,,,,,,
